iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,2021-10-03,155191.0,0.0,33.0,7206.0,0.0,1.0,3895.804,0.0,0.828,180.894,0.0,0.025,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
OWID_AFR,,Africa,2021-10-03,8339841.0,5455.0,14413.857,212040.0,237.0,469.571,6072.023,3.972,10.494,154.381,0.173,0.342,,,,,,,,,,,,,,,,,,,156151327.0,95088444.0,62395435.0,,636059.0,1203433.0,11.37,6.92,4.54,,876.0,,1373486472.0,,,,,,,,,,,,,,,,,,
ALB,Europe,Albania,2021-10-03,171794.0,467.0,557.286,2713.0,3.0,10.429,59797.406,162.552,193.978,944.331,1.044,3.63,0.83,,,,,,,,,,,,,,,,,,1756040.0,950620.0,805420.0,,6934.0,7899.0,61.12,33.09,28.03,,2749.0,41.67,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
DZA,Africa,Algeria,2021-10-03,203789.0,132.0,152.429,5822.0,3.0,6.429,4567.557,2.959,3.416,130.489,0.067,0.144,0.83,18.0,0.403,,,,,,,,,,,,,,,,14082920.0,6017036.0,4032942.0,,,314866.0,31.56,13.49,9.04,,7057.0,52.78,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
AND,Europe,Andorra,2021-10-03,15222.0,0.0,7.857,130.0,0.0,0.0,196783.618,0.0,101.574,1680.585,0.0,0.0,1.39,,,,,,,,,,214094.0,2767.717,,181.0,2.34,0.034,29.5,people tested,102032.0,54312.0,47720.0,,,218.0,131.9,70.21,61.69,,2818.0,51.85,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,,
AGO,Africa,Angola,2021-10-03,58943.0,340.0,546.0,1577.0,3.0,10.857,1737.009,10.02,16.09,46.473,0.088,0.32,1.13,,,,,,,,,,,,,,,,,,3134137.0,2127405.0,1006732.0,,,44858.0,9.24,6.27,2.97,,1322.0,56.94,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,
AIA,North America,Anguilla,2021-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18704.0,9548.0,9156.0,,,17.0,123.66,63.13,60.54,,1124.0,,15125.0,,,,,,,,,,,,,81.88,,,,,
ATG,North America,Antigua and Barbuda,2021-10-03,3503.0,100.0,82.857,85.0,1.0,3.0,35481.322,1012.884,839.247,860.951,10.129,30.387,1.5,,,,,,,,,,,,,,,,,,93318.0,51148.0,42170.0,,,1030.0,94.52,51.81,42.71,,10433.0,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,
ARG,South America,Argentina,2021-10-03,5259738.0,386.0,1333.714,115245.0,6.0,54.714,115330.404,8.464,29.244,2526.98,0.132,1.2,0.75,,,,,,,,,26194.0,14046650.0,308.001,0.574,24732.0,0.542,0.018,55.6,tests performed,52535781.0,29839720.0,22758402.0,,196482.0,254390.0,115.2,65.43,49.9,,5578.0,75.93,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
ARM,Asia,Armenia,2021-10-03,264690.0,907.0,877.857,5372.0,18.0,17.286,89177.421,305.58,295.761,1809.895,6.064,5.824,1.19,,,,,,,,,7472.0,1712685.0,577.025,2.517,6101.0,2.056,0.145,6.9,tests performed,408535.0,264695.0,143840.0,,,5965.0,13.76,8.92,4.85,,2010.0,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,
ABW,North America,Aruba,2021-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156357.0,81462.0,74895.0,,2.0,107.0,145.86,75.99,69.87,,998.0,19.91,107195.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,
OWID_ASI,,Asia,2021-10-03,76226829.0,124299.0,140384.571,1131759.0,1448.0,1974.286,16288.965,26.562,29.999,241.846,0.309,0.422,,,,,,,,,,,,,,,,,,,4266580348.0,2441620501.0,1747057588.0,16658171.0,12128185.0,19549099.0,91.17,52.18,37.33,0.36,4177.0,,4679660580.0,,,,,,,,,,,,,,,,,,
AUS,Oceania,Australia,2021-10-03,113411.0,2023.0,2054.286,1346.0,12.0,14.429,4397.784,78.447,79.66,52.194,0.465,0.56,1.11,,,,,,,,,210417.0,37631431.0,1459.249,8.159,197936.0,7.675,0.009,107.0,tests performed,28769273.0,17002409.0,11766864.0,,138537.0,280419.0,111.56,65.93,45.63,,10874.0,71.76,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUT,Europe,Austria,2021-10-03,748825.0,2445.0,1847.857,11026.0,5.0,8.143,82806.484,270.373,204.34,1219.276,0.553,0.9,1.03,225.0,24.881,636.0,70.33,,,,,359097.0,86750951.0,9593.084,39.71,359769.0,39.784,0.005,203.9,tests performed,10873439.0,5751598.0,5433684.0,,1643.0,10658.0,120.24,63.6,60.09,,1179.0,60.19,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,,,
AZE,Asia,Azerbaijan,2021-10-03,485987.0,712.0,734.857,6573.0,14.0,16.571,47536.99,69.645,71.88,642.94,1.369,1.621,0.66,,,,,,,,,6684.0,4839863.0,473.413,0.654,8781.0,0.859,0.109,9.1,tests performed,8736939.0,4808142.0,3928797.0,,52949.0,55285.0,85.46,47.03,38.43,,5408.0,58.33,10223344.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,,,,
BHS,North America,Bahamas,2021-10-03,21114.0,0.0,73.0,533.0,0.0,1.571,53195.403,0.0,183.919,1342.86,0.0,3.959,1.04,,,,,,,,,272.0,145042.0,365.424,0.685,,,,,tests performed,207784.0,124207.0,88265.0,,,3332.0,52.35,31.29,22.24,,8395.0,,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BHR,Asia,Bahrain,2021-10-03,275237.0,62.0,60.429,1389.0,0.0,0.0,157431.669,35.463,34.564,794.488,0.0,0.0,0.86,,,,,,,,,15544.0,6427427.0,3676.397,8.891,15919.0,9.105,0.004,243.8,units unclear,2607646.0,1166068.0,1122149.0,,6715.0,6556.0,149.15,66.7,64.19,,3750.0,39.35,1748295.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,,,,
BGD,Asia,Bangladesh,2021-10-03,1557964.0,617.0,944.714,27573.0,18.0,22.714,9368.198,3.71,5.681,165.799,0.108,0.137,0.73,,,,,,,,,26569.0,9707922.0,58.375,0.16,26286.0,0.158,0.043,23.1,tests performed,50785915.0,33663082.0,17122833.0,,6758992.0,1495469.0,30.54,20.24,10.3,,8992.0,,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
BRB,North America,Barbados,2021-10-03,8792.0,0.0,173.714,79.0,0.0,1.714,30558.761,0.0,603.787,274.584,0.0,5.958,1.38,,,,,,,,,,,,,,,,,,241915.0,136034.0,105881.0,,1967.0,1581.0,84.08,47.28,36.8,,5495.0,67.59,287708.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,,,,
BLR,Europe,Belarus,2021-10-03,543976.0,1899.0,1967.571,4188.0,14.0,13.714,57607.081,201.104,208.366,443.509,1.483,1.452,1.03,,,,,,,,,,8414751.0,891.122,,28547.0,3.023,0.069,14.5,tests performed,3628321.0,2059838.0,1568483.0,,,34114.0,38.42,21.81,16.61,,3613.0,19.44,9442867.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,,,,
BEL,Europe,Belgium,2021-10-03,1247197.0,0.0,1924.857,25612.0,0.0,8.286,107218.121,0.0,165.475,2201.794,0.0,0.712,1.03,202.0,17.365,668.0,57.426,,,352.329,30.289,55707.0,19989310.0,1718.426,4.789,46003.0,3.955,0.046,21.7,tests performed,16617448.0,8587258.0,8414890.0,124218.0,7401.0,11185.0,142.86,73.82,72.34,1.07,962.0,28.7,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,,,,
BLZ,North America,Belize,2021-10-03,21003.0,0.0,200.429,418.0,0.0,2.286,51870.146,0.0,494.989,1032.315,0.0,5.645,1.27,,,,,,,,,,259340.0,640.48,,1524.0,3.764,0.131,7.7,tests performed,321277.0,193769.0,127508.0,,5470.0,3942.0,79.34,47.85,31.49,,9735.0,56.48,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,,
BEN,Africa,Benin,2021-10-03,23890.0,0.0,133.143,159.0,0.0,0.714,1918.717,0.0,10.693,12.77,0.0,0.057,0.56,,,,,,,,,,,,,,,,,,247674.0,226269.0,21405.0,,,4905.0,1.99,1.82,0.17,,394.0,54.63,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,
BMU,North America,Bermuda,2021-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87215.0,44190.0,43025.0,,,77.0,140.46,71.17,69.29,,1240.0,47.22,62092.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,,,,
BTN,Asia,Bhutan,2021-10-03,2608.0,7.0,1.286,3.0,0.0,0.0,3344.018,8.976,1.649,3.847,0.0,0.0,0.39,,,,,,,,,1516.0,1150014.0,1474.566,1.944,1690.0,2.167,0.0,6632.9,samples tested,1081086.0,584605.0,496481.0,,,1810.0,138.62,74.96,63.66,,2321.0,62.96,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,,,,
BOL,South America,Bolivia,2021-10-03,501179.0,356.0,326.286,18762.0,12.0,8.857,42354.577,30.086,27.574,1585.574,1.014,0.749,0.99,,,,,,,,,7107.0,2438941.0,206.115,0.601,4838.0,0.409,0.062,16.1,tests performed,6651655.0,4252426.0,3258388.0,,,33676.0,56.21,35.94,27.54,,2846.0,39.35,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
BIH,Europe,Bosnia and Herzegovina,2021-10-03,235536.0,0.0,676.429,10635.0,0.0,30.429,72173.727,0.0,207.274,3258.812,0.0,9.324,1.06,,,,,,,,,3854.0,1227043.0,375.995,1.181,2815.0,0.863,0.228,4.4,tests performed,1242203.0,734195.0,508008.0,,,8275.0,38.06,22.5,15.57,,2536.0,35.19,3263459.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,,,,
BWA,Africa,Botswana,2021-10-03,179220.0,0.0,399.0,2368.0,0.0,1.143,74760.975,0.0,166.441,987.803,0.0,0.477,0.93,,,,,,,,,,,,,,,,,,629604.0,394827.0,234777.0,,,2863.0,26.26,16.47,9.79,,1194.0,39.81,2397240.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,,,
BRA,South America,Brazil,2021-10-03,21468121.0,9004.0,16592.714,597948.0,225.0,500.714,100321.397,42.076,77.538,2794.235,1.051,2.34,1.05,,,,,,,,,,,,,,,,,,241625472.0,152268850.0,93951410.0,,1412943.0,1397277.0,112.91,71.16,43.9,,6530.0,,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,
VGB,North America,British Virgin Islands,2021-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32930.0,17570.0,15360.0,,,76.0,108.24,57.75,50.49,,2498.0,,30423.0,207.973,,,,,,,13.67,,,,,79.07,,,,,
BRN,Asia,Brunei,2021-10-03,7326.0,0.0,112.286,43.0,0.0,0.857,16592.229,0.0,254.309,97.388,0.0,1.941,1.25,,,,,,,,,,,,,,,,,,493587.0,296963.0,196624.0,,,7901.0,111.79,67.26,44.53,,17895.0,79.63,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,,
BGR,Europe,Bulgaria,2021-10-03,505994.0,513.0,1876.143,21038.0,43.0,78.429,73368.031,74.384,272.037,3050.464,6.235,11.372,1.14,418.0,60.609,5040.0,730.789,,,,,,4786244.0,693.995,,17740.0,2.572,0.101,9.9,tests performed,2550279.0,,1337228.0,,1284.0,5960.0,36.98,,19.39,,864.0,,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,,,,
BFA,Africa,Burkina Faso,2021-10-03,14335.0,45.0,23.286,187.0,0.0,1.0,666.834,2.093,1.083,8.699,0.0,0.047,1.22,,,,,,,,,,,,,,,,,,254545.0,234490.0,168141.0,,,8838.0,1.18,1.09,0.78,,411.0,13.89,21497097.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,,,
BDI,Africa,Burundi,2021-10-03,18271.0,0.0,273.571,38.0,0.0,0.0,1490.849,0.0,22.322,3.101,0.0,0.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,12255429.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,,,,
KHM,Asia,Cambodia,2021-10-03,113256.0,199.0,595.571,2383.0,23.0,20.0,6683.171,11.743,35.144,140.619,1.357,1.18,1.14,,,,,,,,,,,,,,,,,,24332508.0,13401922.0,11085410.0,898327.0,59887.0,113443.0,143.58,79.08,65.41,5.3,6694.0,,16946446.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,,,,
CMR,Africa,Cameroon,2021-10-03,92303.0,0.0,984.143,1459.0,0.0,13.0,3390.468,0.0,36.149,53.592,0.0,0.478,0.09,,,,,,,,,,,,,,,,,,469341.0,385057.0,84284.0,,,1421.0,1.72,1.41,0.31,,52.0,25.0,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,
CAN,North America,Canada,2021-10-03,1640565.0,1396.0,4487.0,28002.0,6.0,43.857,43095.743,36.671,117.868,735.58,0.158,1.152,1.03,760.0,19.964,2329.0,61.18,,,,,90685.0,43215201.0,1135.213,2.382,107724.0,2.83,0.041,24.7,tests performed,56447677.0,29337068.0,27110609.0,,48378.0,87136.0,148.28,77.07,71.22,,2289.0,68.06,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CPV,Africa,Cape Verde,2021-10-03,37658.0,23.0,30.0,342.0,2.0,1.143,67018.923,40.932,53.39,608.648,3.559,2.034,0.77,,,,,,,,,715.0,,,1.272,,,,,tests performed,420246.0,286914.0,142748.0,,,2159.0,74.79,51.06,25.4,,3842.0,,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,
CYM,North America,Cayman Islands,2021-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110400.0,55200.0,55200.0,,226.0,633.0,166.02,83.01,83.01,,9519.0,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CAF,Africa,Central African Republic,2021-10-03,11371.0,0.0,0.0,100.0,0.0,0.0,2311.185,0.0,0.0,20.325,0.0,0.0,0.43,,,,,,,,,,,,,,,,,,207004.0,197103.0,9901.0,,,7076.0,4.21,4.01,0.2,,1438.0,27.78,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,,,,
TCD,Africa,Chad,2021-10-03,5044.0,2.0,1.714,174.0,0.0,0.0,298.197,0.118,0.101,10.287,0.0,0.0,0.88,,,,,,,,,,,,,,,,,,154042.0,123426.0,30616.0,,,3234.0,0.91,0.73,0.18,,191.0,22.22,16914985.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,,,,
CHL,South America,Chile,2021-10-03,1656602.0,718.0,693.143,37494.0,10.0,7.714,86225.837,37.372,36.078,1951.556,0.52,0.402,1.18,,,,,,,,,46433.0,21500852.0,1119.115,2.417,60700.0,3.159,0.011,87.5,tests performed,32522931.0,15529858.0,14161239.0,3398948.0,116473.0,138416.0,169.28,80.83,73.71,17.69,7205.0,37.5,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,,,
CHN,Asia,China,2021-10-03,96329.0,27.0,30.429,4636.0,0.0,0.0,66.7,0.019,0.021,3.21,0.0,0.0,0.8,,,,,,,,,,,,,,,,,,2212961000.0,,1047872000.0,,755000.0,2181714.0,153.23,,72.56,,1511.0,,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
COL,South America,Colombia,2021-10-03,4962054.0,1413.0,1482.714,126401.0,29.0,36.571,96790.649,27.562,28.922,2465.599,0.566,0.713,0.95,,,,,,,,,44962.0,25393612.0,495.332,0.877,44809.0,0.874,0.038,26.3,tests performed,40404815.0,26332902.0,16929789.0,,254984.0,192415.0,78.81,51.37,33.02,,3753.0,51.39,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
COM,Africa,Comoros,2021-10-03,4155.0,8.0,6.143,147.0,0.0,0.0,4676.653,9.004,6.914,165.456,0.0,0.0,0.81,,,,,,,,,,,,,,,,,,352635.0,190637.0,162098.0,,,2253.0,39.69,21.46,18.24,,2536.0,,888456.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,,,,
COG,Africa,Congo,2021-10-03,14359.0,0.0,35.143,197.0,0.0,0.857,2538.264,0.0,6.212,34.824,0.0,0.152,0.51,,,,,,,,,,,,,,,,,,346613.0,230572.0,116041.0,,,2088.0,6.13,4.08,2.05,,369.0,25.0,5657017.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,,,,
CRI,North America,Costa Rica,2021-10-03,533873.0,0.0,1813.0,6413.0,0.0,32.0,103885.482,0.0,352.789,1247.895,0.0,6.227,1.01,,,,,,,,,4383.0,1879112.0,365.653,0.853,6917.0,1.346,0.267,3.7,people tested,5596495.0,3407214.0,2189281.0,,,45441.0,108.9,66.3,42.6,,8842.0,54.63,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,,,,
CIV,Africa,Cote d'Ivoire,2021-10-03,60424.0,48.0,77.857,640.0,4.0,5.714,2233.49,1.774,2.878,23.657,0.148,0.211,0.88,,,,,,,,,2741.0,1011465.0,37.387,0.101,3420.0,0.126,0.03,32.8,samples tested,2200971.0,,,,63024.0,42558.0,8.14,,,,1573.0,17.59,27053629.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,,,,
HRV,Europe,Croatia,2021-10-03,408699.0,944.0,1258.286,8678.0,14.0,11.857,100130.658,231.279,308.278,2126.097,3.43,2.905,1.14,,,,,,,,,9674.0,2823030.0,691.638,2.37,8739.0,2.141,0.13,7.7,people tested,3447108.0,1829251.0,1714992.0,,8770.0,5675.0,84.45,44.82,42.02,,1390.0,33.8,4081657.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,,,,
CUB,North America,Cuba,2021-10-03,891447.0,4097.0,5325.714,7580.0,46.0,50.429,78767.144,362.006,470.573,669.759,4.065,4.456,0.85,,,,,,,,,,,,,,,,,,21444151.0,9477620.0,5207046.0,,151628.0,207527.0,189.48,83.74,46.01,,18337.0,,11317498.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,,,,
CUW,North America,Curacao,2021-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187772.0,98134.0,89638.0,,489.0,140.0,113.94,59.55,54.39,,850.0,,164796.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,
CYP,Europe,Cyprus,2021-10-03,120272.0,0.0,83.286,552.0,0.0,0.143,134231.394,0.0,92.952,616.068,0.0,0.159,0.83,16.0,17.857,79.0,88.169,14.126,15.766,29.261,32.657,46347.0,13224159.0,14891.987,52.192,53520.0,60.27,0.002,474.2,tests performed,1165198.0,596199.0,556852.0,12147.0,2194.0,2040.0,130.04,66.54,62.15,1.36,2277.0,43.52,896005.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,,,,
CZE,Europe,Czechia,2021-10-03,1693790.0,556.0,632.286,30478.0,1.0,3.571,157935.72,51.844,58.957,2841.89,0.093,0.333,1.14,32.0,2.984,187.0,17.437,68.195,6.359,295.845,27.586,66030.0,,,6.157,67291.0,6.274,0.007,142.9,tests performed,11822941.0,6088534.0,5971150.0,,1073.0,6273.0,110.24,56.77,55.68,,585.0,32.41,10724553.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,,,,
COD,Africa,Democratic Republic of Congo,2021-10-03,56997.0,0.0,54.286,1084.0,0.0,0.143,616.998,0.0,0.588,11.734,0.0,0.002,1.01,,,,,,,,,,,,,,,,,,136094.0,99839.0,36255.0,,,170.0,0.15,0.11,0.04,,2.0,37.96,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,,
DNK,Europe,Denmark,2021-10-03,361839.0,382.0,445.0,2665.0,0.0,3.0,62243.283,65.711,76.549,458.431,0.0,0.516,1.07,17.0,2.924,85.0,14.622,,,80.868,13.911,24684.0,41097142.0,7069.501,4.246,32673.0,5.62,0.013,79.0,tests performed,8780826.0,4455375.0,4371778.0,,3270.0,3813.0,151.05,76.64,75.2,,656.0,24.07,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
DJI,Africa,Djibouti,2021-10-03,12922.0,41.0,95.571,171.0,2.0,1.286,12893.673,40.91,95.362,170.625,1.996,1.283,1.13,,,,,,,,,,,,,,,,,,92097.0,66010.0,26087.0,,,3108.0,9.19,6.59,2.6,,3101.0,54.63,1002197.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,,,,
DMA,North America,Dominica,2021-10-03,3673.0,71.0,54.286,22.0,1.0,1.0,50892.313,983.761,752.171,304.827,13.856,13.856,1.09,,,,,,,,,,,,,,,,,,46694.0,25127.0,21567.0,,,296.0,64.7,34.82,29.88,,4101.0,72.22,72172.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,,,,
DOM,North America,Dominican Republic,2021-10-03,360830.0,573.0,525.857,4055.0,0.0,2.286,32941.338,52.311,48.007,370.194,0.0,0.209,1.27,,,,,,,,,,2039561.0,186.198,,3464.0,0.316,0.077,12.9,samples tested,11958229.0,6080965.0,4920361.0,956903.0,11421.0,23534.0,109.17,55.52,44.92,8.74,2148.0,65.74,10953714.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,,,,
ECU,South America,Ecuador,2021-10-03,510619.0,1381.0,394.429,32791.0,29.0,10.143,28544.581,77.201,22.049,1833.08,1.621,0.567,1.09,,,,,,,,,4700.0,1739233.0,97.226,0.263,2637.0,0.147,0.089,11.3,people tested,20896804.0,11350433.0,9918613.0,,55454.0,46496.0,116.82,63.45,55.45,,2599.0,58.8,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,,,,
EGY,Africa,Egypt,2021-10-03,306798.0,768.0,739.0,17436.0,37.0,35.571,2942.671,7.366,7.088,167.238,0.355,0.341,1.13,,,,,,,,,,,,,,,,,,16959764.0,11113946.0,5845818.0,,,271721.0,16.27,10.66,5.61,,2606.0,35.19,104258327.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,,,,
SLV,North America,El Salvador,2021-10-03,104348.0,0.0,332.0,3277.0,15.0,13.143,16007.977,0.0,50.932,502.723,2.301,2.016,0.53,,,,,,,,,,,,,,,,,,7653662.0,4122611.0,3452992.0,78059.0,59214.0,43403.0,117.41,63.24,52.97,1.2,6658.0,22.22,6518500.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,,,,
GNQ,Africa,Equatorial Guinea,2021-10-03,12362.0,0.0,79.429,147.0,0.0,0.714,8526.158,0.0,54.782,101.387,0.0,0.493,1.4,,,,,,,,,,221428.0,152.72,,792.0,0.546,0.121,8.3,tests performed,397083.0,225011.0,167635.0,,,1525.0,27.39,15.52,11.56,,1052.0,,1449891.0,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,,,,
ERI,Africa,Eritrea,2021-10-03,6723.0,1.0,4.143,42.0,0.0,0.0,1866.742,0.278,1.15,11.662,0.0,0.0,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.93,3601462.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,,,,
EST,Europe,Estonia,2021-10-03,158357.0,629.0,688.714,1363.0,3.0,2.714,119497.762,474.65,519.711,1028.533,2.264,2.048,1.2,18.0,13.583,195.0,147.149,13.96,10.534,139.601,105.344,6167.0,1925417.0,1452.939,4.654,5682.0,4.288,0.105,9.5,tests performed,1375610.0,760795.0,614815.0,,645.0,2250.0,103.8,57.41,46.39,,1698.0,22.22,1325188.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,,,,
