iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
SOM,Africa,Somalia,2021-10-03,20577.0,597.0,122.0,1137.0,26.0,4.857,1257.801,36.493,7.457,69.501,1.589,0.297,1.13,,,,,,,,,,,,,,,,,,495041.0,259041.0,236000.0,,17966.0,11117.0,3.03,1.58,1.44,,680.0,35.19,16359500.0,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,,,,
ZAF,Africa,South Africa,2021-10-03,2906422.0,809.0,1354.143,87780.0,27.0,104.0,48406.485,13.474,22.553,1461.977,0.45,1.732,0.67,,,,,,,,,15350.0,17588025.0,292.929,0.256,30520.0,0.508,0.063,16.0,people tested,17875187.0,12840302.0,9075189.0,,171932.0,149628.0,29.77,21.39,15.11,,2492.0,45.37,60041996.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,,,,
OWID_SAM,,South America,2021-10-03,37834559.0,17474.0,23938.714,1156600.0,376.0,679.429,87124.181,40.239,55.125,2663.381,0.866,1.565,,,,,,,,,,,,,,,,,,,448768286.0,271182126.0,182528203.0,4371477.0,4396580.0,2276731.0,103.34,62.45,42.03,1.01,5243.0,,434260138.0,,,,,,,,,,,,,,,,,,
KOR,Asia,South Korea,2021-10-03,319777.0,1672.0,2317.714,2513.0,6.0,8.143,6232.84,32.589,45.175,48.981,0.117,0.159,1.07,,,,,,,,,46957.0,13394600.0,261.077,0.915,39750.0,0.775,0.08,12.5,people tested,65282635.0,39714000.0,27016188.0,,36511.0,767070.0,127.24,77.41,52.66,,14951.0,47.22,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
SSD,Africa,South Sudan,2021-10-03,12041.0,6.0,13.286,130.0,0.0,0.286,1057.956,0.527,1.167,11.422,0.0,0.025,1.07,,,,,,,,,,,,,,,,,,108602.0,77546.0,31053.0,,3130.0,606.0,0.95,0.68,0.27,,53.0,25.0,11381377.0,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,,,,
ESP,Europe,Spain,2021-10-03,4961128.0,0.0,2075.286,86463.0,0.0,33.429,106131.257,0.0,44.396,1849.665,0.0,0.715,0.81,837.0,17.906,2951.0,63.129,11.851,0.254,226.158,4.838,,,,,,,,,,70153507.0,37702384.0,36667138.0,,69686.0,58953.0,150.08,80.66,78.44,,1261.0,42.13,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,,,,
LKA,Asia,Sri Lanka,2021-10-03,520432.0,802.0,974.714,13059.0,40.0,54.143,24209.173,37.307,45.341,607.471,1.861,2.519,0.59,,,,,,,,,7740.0,5281658.0,245.689,0.36,8158.0,0.379,0.135,7.4,tests performed,26423966.0,14570141.0,11853825.0,,47157.0,66024.0,122.92,67.78,55.14,,3071.0,71.3,21497306.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,,,,
SDN,Africa,Sudan,2021-10-03,38283.0,0.0,29.429,2906.0,2.0,1.714,852.451,0.0,0.655,64.708,0.045,0.038,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,,
SUR,South America,Suriname,2021-10-03,42285.0,188.0,339.571,908.0,7.0,9.0,71451.745,317.676,573.796,1534.307,11.828,15.208,0.94,,,,,,,,,,,,,,,,,,403676.0,230230.0,173446.0,,222.0,1670.0,68.21,38.9,29.31,,2822.0,47.22,591798.0,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,,,,
SWE,Europe,Sweden,2021-10-03,1153655.0,0.0,606.857,14868.0,0.0,6.714,113546.944,0.0,59.729,1463.363,0.0,0.661,0.91,42.0,4.134,274.0,26.968,14.757,1.452,,,23127.0,,,2.276,23127.0,2.276,0.027,36.6,tests performed,13785496.0,7159590.0,6595856.0,,35725.0,25492.0,135.68,70.47,64.92,,2509.0,19.44,10160159.0,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,,,,
